date,v.name,v.score,h.name,h.score
Fri Dec 11 2015,Los Angeles Lakers,87,San Antonio Spurs,109
Fri Dec 11 2015,Milwaukee Bucks,83,Toronto Raptors,90
Fri Dec 11 2015,Oklahoma City Thunder,94,Utah Jazz,90
Sat Dec 12 2015,San Antonio Spurs,103,Atlanta Hawks,78
Sat Dec 12 2015,Los Angeles Clippers,105,Brooklyn Nets,100
Sat Dec 12 2015,New Orleans Pelicans,94,Chicago Bulls,98
Sat Dec 12 2015,Boston Celtics,98,Charlotte Hornets,93
Sat Dec 12 2015,Washington Wizards,114,Dallas Mavericks,111
Sat Dec 12 2015,Indiana Pacers,96,Detroit Pistons,118
Sat Dec 12 2015,Los Angeles Lakers,97,Houston Rockets,126
Sat Dec 12 2015,Golden State Warriors,95,Milwaukee Bucks,108
Sat Dec 12 2015,New York Knicks,112,Portland Trail Blazers,110
Sun Dec 13 2015,Memphis Grizzlies,97,Miami Heat,100
Sun Dec 13 2015,Utah Jazz,98,Oklahoma City Thunder,104
Sun Dec 13 2015,Minnesota Timberwolves,101,Phoenix Suns,108
Sun Dec 13 2015,Philadelphia 76ers,76,Toronto Raptors,96
Mon Dec 14 2015,Miami Heat,100,Atlanta Hawks,88
Mon Dec 14 2015,Orlando Magic,105,Brooklyn Nets,82
Mon Dec 14 2015,Philadelphia 76ers,96,Chicago Bulls,115
Mon Dec 14 2015,Phoenix Suns,94,Dallas Mavericks,104
Mon Dec 14 2015,Houston Rockets,108,Denver Nuggets,114
Mon Dec 14 2015,Los Angeles Clippers,105,Detroit Pistons,103
Mon Dec 14 2015,Toronto Raptors,90,Indiana Pacers,106
Mon Dec 14 2015,Washington Wizards,95,Memphis Grizzlies,112
Mon Dec 14 2015,New Orleans Pelicans,101,Portland Trail Blazers,105
Mon Dec 14 2015,Utah Jazz,81,San Antonio Spurs,118
Tue Dec 15 2015,Cleveland Cavaliers,89,Boston Celtics,77
Tue Dec 15 2015,Milwaukee Bucks,95,Los Angeles Lakers,113
Tue Dec 15 2015,Denver Nuggets,112,Minnesota Timberwolves,100
Tue Dec 15 2015,Houston Rockets,97,Sacramento Kings,107
Wed Dec 16 2015,Philadelphia 76ers,106,Atlanta Hawks,127
Wed Dec 16 2015,Miami Heat,104,Brooklyn Nets,98
Wed Dec 16 2015,Memphis Grizzlies,85,Chicago Bulls,98
Wed Dec 16 2015,Boston Celtics,116,Detroit Pistons,119
Wed Dec 16 2015,Phoenix Suns,103,Golden State Warriors,128
Wed Dec 16 2015,Dallas Mavericks,81,Indiana Pacers,107
Wed Dec 16 2015,Milwaukee Bucks,90,Los Angeles Clippers,103
Wed Dec 16 2015,Minnesota Timberwolves,102,New York Knicks,107
Wed Dec 16 2015,Portland Trail Blazers,90,Oklahoma City Thunder,106
Wed Dec 16 2015,Charlotte Hornets,98,Orlando Magic,113
Wed Dec 16 2015,Washington Wizards,95,San Antonio Spurs,114
Wed Dec 16 2015,New Orleans Pelicans,104,Utah Jazz,94
Thu Dec 17 2015,Toronto Raptors,99,Charlotte Hornets,109
Thu Dec 17 2015,Oklahoma City Thunder,100,Cleveland Cavaliers,104
Thu Dec 17 2015,Houston Rockets,107,Los Angeles Lakers,87
Fri Dec 18 2015,Atlanta Hawks,109,Boston Celtics,101
Fri Dec 18 2015,Detroit Pistons,147,Chicago Bulls,144
Fri Dec 18 2015,Memphis Grizzlies,88,Dallas Mavericks,97
Fri Dec 18 2015,Milwaukee Bucks,112,Golden State Warriors,121
Fri Dec 18 2015,Brooklyn Nets,97,Indiana Pacers,104
Fri Dec 18 2015,Toronto Raptors,108,Miami Heat,94
Fri Dec 18 2015,Sacramento Kings,95,Minnesota Timberwolves,99
Fri Dec 18 2015,Portland Trail Blazers,94,Orlando Magic,102
Fri Dec 18 2015,New York Knicks,107,Philadelphia 76ers,97
Fri Dec 18 2015,New Orleans Pelicans,88,Phoenix Suns,104
